Caloric Value,Fat,Saturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Calcium,Magnesium,Potassium,Iron,Zinc,Phosphorus,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Water
202,8.757532251,15.33791445,208.1419282,65.66888556,37.53255799,46.71331827,16.0043991,739.7478576,890.5008976,339.5654631,527.1878742,16.59607797,8.499475533,128.1704106,669.7410334,146.6472439,78.78099359,29.27099836,38.68275316
535,39.97161122,15.41240465,154.1806816,14.20146402,30.67353075,41.54780967,136.4293028,119.9378733,533.0126549,164.0708018,1085.075145,3.358861857,12.69589447,1153.817993,2728.410877,475.6034909,67.67816189,14.45268465,50.36882944
370,30.12819124,16.96088019,189.1756997,33.87118095,96.80965166,35.16325971,202.4358907,2513.094257,715.1137276,29.99274908,911.7560217,3.613493813,14.95431462,763.2826095,2242.025715,40.99870919,12.38608275,41.38063003,66.36203405
206,24.08999042,5.208910687,261.9824455,90.13556882,57.98233849,36.00200515,203.2594842,2925.337258,1007.503539,166.7317458,826.0457053,15.90662337,6.739976018,725.4810224,1412.580556,305.476793,69.78725226,1.260885338,23.17357599
171,45.78594733,22.9458867,175.4768265,110.613804,37.99131871,23.62409105,111.9367855,449.6056335,974.7903997,272.7649296,1497.890744,12.51766959,5.144331766,109.9351455,3059.624489,37.99503248,44.7131816,28.67613898,27.00368324
120,10.0038867,11.0504926,18.81224731,149.7537792,60.14442209,46.12873153,282.507596,732.8518806,1046.386661,185.6366505,2493.706939,1.374780874,13.64647281,1247.157523,4369.534602,447.949352,94.55349377,17.62096813,87.34911246
221,27.16812969,10.19532468,279.9751217,140.0338864,18.22368663,35.03517594,50.20710967,2611.808096,118.5599241,302.0956288,839.3399695,12.63966631,3.273010872,603.7548609,4994.633029,269.606438,15.01952371,16.81150165,33.06294315
566,5.510914015,13.45402493,209.9627578,96.74221473,47.18415617,36.72007202,150.1078339,2783.068204,845.858136,149.2231475,1346.708191,6.523895595,9.423719268,857.0718838,3078.037567,337.9806919,64.64050569,32.60040987,44.21754982
314,26.08972889,2.127183203,206.1888819,63.76595994,64.49226054,43.22285429,207.265193,1287.900779,210.9854832,257.550215,1429.119251,7.690140532,6.382859151,1048.220961,2083.058784,417.4712237,38.8160245,42.72273802,88.41446659
430,7.533647406,4.99080085,72.5457942,95.79042734,51.44529402,14.42950788,209.1407418,199.3362932,528.1913532,82.70372389,3419.9522,15.50976266,1.095694292,1083.681407,1203.514791,83.65220502,95.72465239,30.85057418,69.68330465
558,10.34680623,18.71280679,201.0767864,118.0620911,43.16898606,40.54647429,194.591687,166.2059094,680.8766773,302.2540803,3345.865613,16.31323626,5.535682877,1438.372082,1359.770838,28.90986535,33.66751463,42.80547595,40.75406914
187,10.2886811,2.98716803,124.2206776,18.63209245,99.41559695,10.56678954,82.58646404,1743.152105,513.1504075,222.8214278,2820.467781,8.306954223,4.345813576,843.8759345,2449.329393,440.6517615,96.25640504,13.96525848,71.53295912
472,34.2144636,15.47565063,198.8575633,62.07582856,88.6299024,17.92175566,46.86197061,1209.040571,647.5534272,89.58511153,921.6403308,18.96948225,10.44832173,659.6073714,1899.660736,164.3172815,90.24709926,26.45559088,11.77148938
199,38.57201957,6.888378632,40.91197879,126.1305406,64.22356603,17.44491226,190.782098,134.5246614,1196.005255,123.8453577,331.3268679,8.426023,14.25746222,1435.185077,4577.691161,73.19966488,27.7679403,23.07629041,76.2078394
230,31.25159443,10.34309474,200.7751383,58.19110984,59.09084931,48.94774795,179.7906348,1770.594557,205.4999108,301.9573963,1177.474068,15.55080269,4.386684217,998.954329,1904.647792,239.5460062,80.55063591,1.570600076,53.83144365
408,48.29776468,7.928649682,299.8299805,86.20896841,63.96274558,42.97032396,53.80680309,83.34248294,826.7744521,198.2144819,1007.101468,9.935606659,12.26625612,517.4104988,1929.878497,303.1699771,99.56481598,28.28379501,83.18639326
443,21.86917608,9.536145195,23.98149127,88.57763477,24.12465024,35.35732322,211.5417437,2372.747277,505.4011113,94.25226175,1820.14772,18.00188037,1.302717346,277.0499436,1979.319111,25.17559568,26.01363721,33.41469188,95.91738868
591,17.85704388,18.25710172,293.3805134,28.48696172,42.53808561,36.62578132,136.5515975,953.976827,202.9612687,387.2357642,2744.274894,18.20134425,8.302754646,1279.576302,4199.439031,144.6988725,44.24093976,30.00380582,93.32096945
513,44.08696077,8.130921175,128.0033086,54.97308081,8.748655625,28.54156693,200.3281775,168.7611089,232.5472779,288.8987577,3018.297992,2.204627753,1.522975924,607.0542439,3288.862772,26.0719384,52.49789292,37.07771504,91.83385391
485,15.06181273,14.59371137,262.5185006,50.84218202,50.17687356,47.40744269,251.2101239,1785.639052,1141.664072,383.2825847,2972.53789,18.76161996,14.04347837,1024.65761,3109.427367,215.9643407,30.19818244,28.99563689,56.09529603
291,48.34501427,12.42520965,236.8917904,4.903309571,56.58733548,25.31667889,50.91852857,1223.169023,1061.541721,176.5709677,1322.896908,16.59792941,11.61209357,759.1429871,1737.30081,448.5990142,2.511219125,4.270762488,42.41279027
376,5.546951361,16.92810797,174.4347157,4.60457282,26.63622493,19.64536778,5.743460399,2922.711219,1093.098254,195.2891329,2436.596768,15.93055893,10.04027371,378.5016917,4107.730466,491.4996816,22.79279518,6.70583068,51.85317923
260,48.6445472,23.48391374,224.1502707,124.9228595,96.58274048,8.98873151,233.7307759,1655.386054,1190.262692,360.2025343,1163.636272,4.417771124,12.44649753,942.3612521,287.9829206,322.1533012,28.91175155,30.2272543,72.0906403
559,6.942196038,18.58173033,264.7695128,41.68755069,91.39818804,39.52407696,182.9092275,861.9555841,289.5626985,214.7692427,307.078847,16.19982457,9.889037036,184.9562965,4366.906144,89.20246995,44.91637043,14.47398041,89.55979992
413,45.10144012,6.158569086,127.2006933,78.19373617,73.60360737,36.98775267,209.8918709,2142.844651,458.755238,285.8387756,2485.321903,17.07758833,14.54969376,678.6794438,2612.474509,453.8662011,17.93914536,4.902611323,28.62876727
121,28.74654991,1.748395241,104.8396169,45.51011046,55.67172973,19.83339689,251.4464925,850.9014075,819.6018844,108.3474222,133.4136787,6.138431522,10.85239024,865.2609155,2051.426151,262.9614334,87.45218131,22.05053443,92.63738426
352,49.68341583,7.294337063,203.6020818,141.1612075,87.64707017,2.234477284,240.8432804,2717.51771,606.3729208,184.2233228,1491.220797,19.06907153,13.90754984,710.4657638,2536.119676,85.33716293,70.78620214,28.16180731,83.36622088
660,8.320845413,15.28187034,244.2753232,39.63521707,17.41197266,42.11086906,288.2760441,1155.429813,531.1479634,58.14544767,1219.889516,1.472272855,7.998412434,1148.141045,3370.3361,461.646068,9.434847278,17.10855343,98.09704137
574,29.9234428,2.234219524,231.0626891,65.0188651,80.09843046,1.559481189,160.7805237,1672.11226,461.4829367,90.33221399,2457.483631,3.423230438,2.197433988,1259.094936,162.5505899,381.1598349,65.35915266,36.30125141,89.2226596
158,48.6186141,12.91278993,241.3659582,131.0368073,16.85797733,35.4812892,146.5486898,199.1906563,732.8477267,10.36793195,2705.234607,10.98283219,8.158576961,1179.740304,4370.604097,368.5355836,65.71199116,32.5447598,35.19435967
610,28.53940299,15.32422837,136.3191613,126.4481015,80.45001294,48.54259838,120.56616,1307.057652,711.9324429,25.31337014,1133.921762,11.72795319,2.339656007,154.3381269,2289.023674,357.4985449,95.66589619,17.30809969,19.53603202
575,33.32293872,9.02185338,247.1719227,28.72911126,31.19791898,22.44540508,46.10731285,2505.472442,235.6765092,391.140691,2859.531849,13.08042662,9.091155448,371.7802786,1780.535947,108.1665123,1.299066264,37.98875392,20.10169648
289,36.308691,19.50189289,44.86062606,120.5938532,88.3236052,12.51369684,171.7821699,2426.663976,592.5008131,104.5179411,1099.316986,0.830898022,7.496149378,851.250513,777.4032716,113.3932789,25.54531253,32.78605708,36.21009867
662,25.45434791,3.558358075,167.9018384,69.26984612,94.68399891,35.53867949,83.1037573,711.7397486,686.4925426,268.6911767,1617.509624,19.22715211,9.527343269,1408.750857,2253.380334,347.2635692,92.85135646,32.23482356,65.27653516
666,33.2401136,2.803306762,11.67001154,72.96236194,19.13561709,41.03927896,276.3922537,716.9332595,705.8299795,337.2488825,2571.862992,1.369467808,0.645681225,1268.939485,2531.981579,117.6641476,93.28125762,28.11795734,82.38882935
343,31.29414404,18.47653015,104.1298907,20.88851589,48.95418248,27.77508549,174.9572413,2461.050671,291.6232718,224.7575791,2455.928779,3.289708078,3.325187129,1279.548312,2077.868803,224.9491314,72.33805552,1.558093736,90.93252763
604,45.55211047,12.89179159,116.2738451,13.00962555,98.19380093,48.38472849,177.8520542,2794.675339,903.6121011,69.72635503,3457.052806,0.773283092,7.624291263,524.4914713,3425.43446,393.1808945,76.81056878,35.12885199,66.13780459
230,7.045087115,17.52165751,124.8900806,109.4629567,50.92370642,3.531767361,106.4773983,331.3147178,78.97895904,293.9654106,865.5474823,11.55373945,14.28230164,701.2270559,2162.392991,394.1367339,10.05681284,19.42604776,10.50681815
584,17.64334353,11.43585613,211.6854899,74.9727117,87.03701464,25.73498432,15.59680559,1377.672986,458.0566339,244.0980499,2351.880906,18.67920424,6.062331085,758.9883262,4810.946131,232.0982685,51.87370764,47.1878758,26.76850989
120,47.76851678,6.913648798,122.6818494,66.09075469,60.9294946,36.20424342,9.523129612,1045.490123,947.2445458,295.1877298,2172.918488,13.48596974,6.653394378,320.3202167,3036.459837,398.1730698,23.92671614,41.08125378,18.97535835
266,45.06187028,20.65845562,140.1211506,109.6967261,40.65634125,43.26938309,127.0005432,2618.530944,698.4768592,310.2011829,3211.334745,16.54182064,10.86309329,143.4953823,4056.641885,420.9246801,18.94058632,29.79702901,42.6992028
373,25.50455388,20.1859811,78.88779795,115.0614219,32.14943777,9.783524983,25.36961343,296.3984983,350.3367974,390.4100434,631.6312816,0.758983467,9.254994981,1425.664059,635.8439252,330.8401181,81.22002661,13.35691711,55.12158943
487,32.9059669,17.6727153,118.2430196,24.67731698,24.30619365,40.20017061,182.0540867,672.8215305,849.1960872,233.6896792,2656.113756,11.06929832,4.834429176,436.9976199,2046.727335,121.9286676,14.36877553,10.98215227,13.90574607
415,17.48215323,7.531483294,75.90819191,91.92354727,77.37082818,28.08264671,264.2919017,2269.781596,702.4995858,143.2400339,2032.113295,9.461478061,6.456837736,435.9284652,1750.553737,144.2657724,47.39651206,17.67885705,41.36301782
113,13.46545219,15.165536,31.22681789,21.16775826,41.72134815,20.43113042,264.874445,201.3168545,965.6801509,262.9011772,1033.863957,10.22987491,3.656647083,216.7306753,2890.463702,164.2721662,93.91924572,24.35182924,26.12617072
341,25.86642822,9.663373527,185.0000921,112.9548878,53.57116891,7.4540364,197.713623,1502.979373,895.2789641,36.6918766,1713.078708,1.908157114,14.50731116,1399.910853,4319.456248,67.23401279,19.3973735,15.50720999,68.23631496
445,20.90085026,3.19796976,203.7817116,98.88631828,51.7709206,43.39949219,63.36954944,1354.215752,751.6241103,359.9849541,1234.84043,13.84648954,2.394198533,911.6319609,483.857267,143.848214,97.82134895,26.23154527,51.78451324
664,31.26452503,23.01552581,189.6522003,143.5355785,59.84150778,8.706387201,258.8990494,1036.483478,611.4043266,56.55859442,2069.665569,10.31279809,5.891633376,1033.8516,455.6165104,112.6644199,99.43451059,9.10315085,54.57858822
439,8.498058663,4.283647142,144.4132727,11.27474444,87.22982883,16.1796051,265.8280306,1213.98833,203.1594445,137.8587068,3122.602077,15.42040257,0.874665097,1376.207642,4266.55677,233.1110874,56.00609831,48.90792783,48.49226092
191,48.84776634,23.80569649,120.1378763,9.501153452,98.17023764,15.21223107,58.99607549,1613.324731,350.5329706,328.1406984,2035.636947,9.963167364,3.715802633,583.8682365,1142.965422,455.1343985,17.84413128,6.288303193,96.04177394
466,49.3794835,11.70413855,260.3667584,43.04587413,43.72049981,43.69928768,221.2278257,526.0337072,531.9643939,242.9518275,2247.856222,3.412941906,11.81683151,970.1102356,3376.890947,61.19535521,32.29438391,46.66526284,29.32616126
554,36.41727713,5.443190292,160.5337177,39.99414688,83.6142976,33.96244672,85.95586468,1737.387841,739.1941801,163.5178529,1863.74268,13.1410106,3.417040868,154.3192366,2760.102849,362.9312827,43.02479043,45.76532256,56.49978339
527,29.12433649,14.00562274,148.9627445,37.79984106,77.63014049,40.03738846,240.7920937,2426.025371,640.7640335,194.6399072,273.9627219,3.861534061,1.660919337,361.4815395,4181.178615,346.7686722,31.62309821,26.74266361,76.24156315
608,18.92874273,21.95070006,17.43619908,136.0319325,59.48525039,13.27292704,299.17137,2292.474743,381.4122049,343.2734833,891.7190934,17.51169399,7.379571108,1263.744127,712.9356582,56.91955735,28.78292241,36.52060332,60.11599718
134,41.62077589,18.57339727,108.96187,38.18238378,95.82447864,31.61883088,9.007801599,504.0047188,57.43401146,142.6017106,1772.80588,12.45576666,0.644553904,1173.475699,735.936532,462.0604784,97.25074121,22.3663666,93.61187971
305,35.81290276,20.35746755,120.2567294,41.52050919,24.04507898,29.01555317,269.2097597,490.2859357,620.6751052,349.1633771,1154.799965,3.565475729,1.729109239,590.899768,2828.409965,288.5513791,16.18311791,31.8716943,44.01715201
180,12.31776227,16.8108008,125.6586065,114.1503411,15.38009998,41.80868846,186.7891601,841.1143848,378.4698868,44.37242808,717.9962324,19.26559212,12.21057511,627.5348789,4737.255401,188.2255054,73.59946296,17.68822093,51.73082252
661,45.9917233,17.61463755,178.2499871,68.01123653,86.12638686,45.39826596,292.0147857,1115.170443,894.7995458,312.9513905,1814.051663,10.60812654,11.6863635,846.976207,2133.489016,380.7039059,1.040618654,15.75679197,17.96700837
487,42.01417593,21.38069564,164.7447386,116.729873,46.71923258,1.595681802,139.5028553,1254.943965,77.53820506,340.5435769,1197.553298,1.921519811,13.7695129,100.3374066,1702.016291,136.1090746,60.02208427,29.33325952,64.80991999
101,47.7409961,6.992032213,186.2924769,10.73955748,85.46204115,34.02697603,254.2163792,2055.10679,722.551983,80.90888461,977.5659868,12.72324164,12.89047382,437.7420705,3072.777684,349.8198202,91.67835739,25.40835404,35.93907716
489,37.65737788,12.74619913,231.8161458,73.64810786,89.84356949,3.539954157,18.71822058,217.2072749,1132.695373,177.8351476,1677.550419,5.437378687,10.40604567,391.5245321,4659.198143,29.45849171,29.50547532,29.39728209,24.42781356
665,32.60368382,6.309026604,245.7658642,6.008426427,10.93347139,27.89407459,100.583715,152.2844775,250.5706572,74.54491212,553.1664775,16.17202231,1.258826431,450.6761254,4200.946381,421.3099384,19.36707155,15.04636848,59.00781636
