,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,0,margarine with yoghurt,88,9.8,1.9,5.6,2,0.073,0,0.058,0,0,0.018,3.9,0.1,0.074,0.086,0.073,0.005,0.097,0,0.075,0.082,0,0.7,0.002,2.8,0.001,0.027,0.3,0,2.2,3.5,0,0.008,12.971
1,1,sunflower seed butter,99,8.8,0.7,6.2,1.6,3.7,1.7,2.8,0.9,0,0.065,0.1,0,0.021,0.005,0,0.075,1.1,0.2,0.013,0.4,0,3.7,0,10.2,0.3,0.7,49.8,0.3,106.6,92.2,0.075,0.8,27.5
2,2,hazelnut oil,120,13.6,1,10.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,13.6
3,3,menhaden fish oil,1966,218,66.3,58.2,74.5,0,0,0,0,1135.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218
4,4,cod liver fish oil,123,13.6,3.1,6.4,3.1,0,0,0,0,77.5,0,0,4.1,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,17.7
5,5,sardine oil,123,13.6,4.1,4.6,4.3,0,0,0,0,96.6,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,13.6
6,6,cupu assu oil,120,13.6,7.2,5.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,13.6
7,7,lard,115,12.8,5,5.8,1.4,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0.025,0.078,0,0,0,0,0,0,0,0,0.012,0.089,12.8
8,8,sesame butter,94,8.1,1.1,3.1,3.6,3.8,0,2.9,0.9,0,0.031,0.3,0,0.004,0.002,0,0.099,1.1,0.077,0.1,0,0,0,0,153.6,0.7,3.1,57.9,0.4,105.4,93.1,0.088,1.2,172.4
9,9,margarine spread,59,6.7,1.2,2.3,2.8,0.1,0,0.082,0,0.1,0.019,7,0,0,0.067,0,0.084,0,0.051,0.049,0,0,0.6,0.073,0.6,0.045,0.078,0.1,0,0.6,5,0,0.054,7.547
